Model,Accuracy (%),Improvement over Baseline (%),Relative Improvement (x)
Autoencoder_Classifier,89.28571343421936,39.28571343421936,1.7857142686843872
Advanced_Ensemble,88.57142857142857,38.57142857142857,1.7714285714285714
Hybrid_ResNet_LSTM,88.21428418159485,38.21428418159485,1.764285683631897
LSTM_Attention,84.46428775787354,34.464287757873535,1.6892857551574707
PyTorch_CNN,80.17857142857143,30.17857142857143,1.6035714285714286
Advanced_CNN,78.21428775787354,28.214287757873535,1.5642857551574707
WaveNet_Advanced,71.78571224212646,21.785712242126465,1.4357142448425293
Transformer,59.82142686843872,9.82142686843872,1.1964285373687744
Conformer_Advanced,0.0,-50.0,0.0
CapsuleNet_Advanced,0.0,-50.0,0.0
